fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
245102007013,25,51,23,0,19,9,12,77,25,46,10,32,16,0,6,0
245102007014,34,30,36,40,10,53,34,0,11,41,62,25,0,0,0,0
245102007015,144,50,20,0,34,12,34,8,6,11,62,0,0,0,0,0
245102007021,26,12,0,0,14,0,0,25,0,0,8,53,0,0,0,0
245102007022,92,30,4,21,35,17,0,3,12,14,86,0,45,0,0,0
245102008001,117,43,17,12,42,0,43,0,0,21,43,14,8,21,0,0
245102008002,58,8,0,0,33,30,6,0,5,14,33,20,0,29,7,0
245102008003,17,34,0,0,0,20,1,0,13,28,26,31,15,0,18,0
245102101001,27,11,26,15,26,43,15,15,0,100,5,19,21,58,3,0
245102101002,69,21,29,9,17,41,0,13,34,80,108,83,26,23,24,16
245102102001,37,13,7,38,4,0,0,19,12,59,69,112,22,0,6,0
245102102002,170,96,53,124,22,43,76,30,23,94,57,10,66,41,39,2
245102201001,10,51,0,14,0,0,14,0,14,104,39,129,29,47,42,0
245102201002,239,91,243,32,36,59,14,0,32,49,31,47,62,24,14,128
245102201003,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0
245102201004,43,13,0,0,31,0,8,0,0,16,15,75,75,63,59,141
245102301001,40,0,0,0,15,0,0,16,0,11,28,72,45,43,45,50
245102301002,36,109,9,36,8,0,0,36,117,23,20,43,48,5,18,0
245102302001,9,34,0,0,21,6,8,23,8,46,10,76,68,62,54,23
245102302002,28,6,16,18,7,14,7,26,0,38,114,22,121,73,49,50
245102303001,0,0,0,0,0,6,0,0,5,0,0,5,0,0,0,0
245102303002,40,14,34,30,0,10,16,32,17,11,52,66,23,38,36,23
245102401001,68,34,22,16,12,4,0,10,18,55,41,77,52,110,127,145
245102401002,18,13,0,6,49,13,0,15,17,42,41,59,64,83,72,24
245102402001,30,15,25,26,10,26,0,27,46,44,75,91,119,69,166,187
245102402002,11,0,9,0,0,0,0,25,0,33,26,89,42,47,29,68
245102403001,0,28,17,22,0,11,6,8,0,42,49,17,56,70,27,53
245102403002,15,26,57,9,0,0,0,0,0,32,23,28,31,35,11,123
245102403003,7,26,7,0,0,0,0,6,0,21,0,31,47,25,31,66
245102404001,25,8,17,7,0,17,31,6,14,41,38,128,55,47,137,21
