fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
220710033012,40,9,24,0,9,19,0,5,5,27,34,72,23,7,0,0
220710033013,13,0,0,9,0,14,7,0,14,5,4,14,6,8,0,17
220710033021,0,0,10,15,18,7,9,7,0,27,8,41,0,0,0,0
220710033022,4,41,83,6,24,9,6,36,78,35,23,45,39,6,0,17
220710033023,54,20,8,0,14,19,0,40,7,60,19,45,28,0,21,60
220710033024,19,9,0,0,18,13,0,0,0,30,14,43,30,0,0,29
220710033031,13,24,81,6,39,6,28,14,8,0,10,32,32,0,0,0
220710033032,46,15,135,22,0,10,0,0,26,10,39,27,0,0,0,0
220710033033,29,0,5,44,5,0,39,9,18,15,6,36,13,0,0,0
220710033041,29,33,28,37,0,12,27,10,29,20,38,37,11,6,0,0
220710033042,96,62,21,25,0,18,17,12,5,4,26,24,5,0,0,0
220710033071,47,16,17,0,22,6,10,10,62,27,27,55,0,0,16,0
220710033072,26,0,6,62,16,26,0,11,18,24,4,12,0,0,15,0
220710033081,24,0,30,32,0,0,0,0,9,14,27,18,0,31,0,0
220710033082,93,87,6,18,16,6,33,0,0,0,22,17,0,17,0,0
220710033083,58,100,70,24,33,37,10,0,26,23,62,23,0,0,0,0
220710033084,35,9,0,0,0,29,20,8,20,20,10,19,22,0,0,0
220710033085,10,31,0,6,5,7,12,31,24,0,40,13,0,0,0,0
220710033086,0,0,0,0,19,0,0,0,0,15,0,1,46,0,0,0
220710034001,45,18,27,40,4,14,23,22,23,12,16,13,0,0,0,19
220710034002,114,35,56,51,31,14,0,17,0,5,11,0,0,0,0,0
220710035001,43,31,25,46,20,0,25,0,0,17,8,0,0,0,0,0
220710035002,4,21,24,0,0,0,60,15,11,19,0,0,0,0,0,0
220710035003,54,7,16,19,0,0,23,0,11,9,27,27,14,0,0,8
220710036001,81,7,19,21,10,27,22,9,11,19,5,7,0,0,0,0
220710036002,56,89,10,15,72,0,52,42,0,5,26,0,4,0,0,0
220710036003,27,29,12,5,6,32,4,14,0,35,0,16,0,0,0,0
220710037011,100,56,46,61,24,44,14,12,38,48,64,93,31,18,29,9
220710037012,72,11,39,0,1,8,3,7,0,40,15,32,0,2,47,0
220710037021,58,0,22,58,57,77,9,12,0,25,0,34,0,0,0,0
